State seed;126;Test seed;0
Test_Count;Random100;Consecutive 0-99
0;-nan;-nan
10;0.2;0.1
20;0.116667;0.0666667
30;0.1;0.0555556
40;0.075;0.0666667
50;0.0733333;0.06
60;0.0944444;0.0555556
70;0.0809524;0.047619
80;0.0791667;0.0541667
90;0.0777778;0.0555556
100;0.0733333;0.0533333
110;0.069697;0.0545455
120;0.0638889;0.0527778
130;0.0615385;0.0487179
140;0.0595238;0.05
150;0.0555556;0.0488889
160;0.0541667;0.0479167
170;0.0509804;0.045098
180;0.05;0.0425926
190;0.0491228;0.0438596
200;0.0483333;0.0466667
210;0.0492063;0.0444444
220;0.05;0.0439394
230;0.0507246;0.042029
240;0.05;0.0402778
250;0.0493333;0.04
260;0.05;0.0384615
270;0.0493827;0.0382716
280;0.0488095;0.0392857
290;0.0517241;0.037931
300;0.0511111;0.0388889
310;0.0526882;0.0408602
320;0.0510417;0.0395833
330;0.0515151;0.0393939
340;0.05;0.0382353
350;0.0504762;0.0380952
360;0.0518519;0.037963
370;0.0513514;0.0378378
380;0.054386;0.0368421
390;0.0547009;0.0358974
400;0.0541667;0.0358333
410;0.0552846;0.0365854
420;0.0547619;0.0365079
430;0.0542636;0.0372093
440;0.0530303;0.0371212
450;0.0518519;0.0392593
460;0.0521739;0.0398551
470;0.0524823;0.0390071
480;0.0513889;0.0388889
490;0.0517007;0.0387755
500;0.052;0.0386667
510;0.0522876;0.0379085
520;0.0512821;0.0371795
530;0.0515723;0.0371069
540;0.0512346;0.037037
550;0.0509091;0.0369697
560;0.0511905;0.0375
570;0.0520468;0.0374269
580;0.0517241;0.0373563
590;0.0508475;0.0378531
600;0.0516667;0.0383333
610;0.0519126;0.0382514
620;0.0516129;0.038172
630;0.0534392;0.0380952
640;0.053125;0.0380208
650;0.054359;0.0384615
660;0.0540404;0.0393939
670;0.0537313;0.0393035
680;0.054902;0.0392157
690;0.0555556;0.0396135
700;0.0552381;0.0395238
710;0.0544601;0.0399061
720;0.0537037;0.0402778
730;0.0534247;0.0401826
740;0.0531532;0.0400901
750;0.0524444;0.04
760;0.0530702;0.0403509
770;0.0528139;0.0402597
780;0.0525641;0.0405983
790;0.0535865;0.0405063
800;0.0533333;0.0408333
810;0.0530864;0.0407407
820;0.053252;0.0406504
830;0.0534137;0.0405622
840;0.0527778;0.040873
850;0.052549;0.0403922
860;0.0523256;0.0406977
870;0.0524904;0.0402299
880;0.0526515;0.0401515
890;0.052809;0.040824
900;0.052963;0.0403704
910;0.0531136;0.0399267
920;0.0532609;0.0398551
930;0.053405;0.0401434
940;0.0531915;0.0404255
950;0.0529825;0.0407018
960;0.053125;0.0402778
970;0.0525773;0.0402062
980;0.052381;0.0397959
990;0.0525252;0.0400673
1000;0.053;0.0396667
1010;0.0534653;0.039604
1020;0.0539216;0.0392157
1030;0.0537217;0.0391586
1040;0.0535256;0.0391026
1050;0.0533333;0.0393651
1060;0.0534591;0.0393082
1070;0.0535826;0.0395639
1080;0.0533951;0.0398148
1090;0.053211;0.0397554
1100;0.0527273;0.04
1110;0.0534535;0.0399399
1120;0.0532738;0.0395833
1130;0.0533923;0.039233
1140;0.0532164;0.0391813
1150;0.0530435;0.04
1160;0.0531609;0.0405172
1170;0.0529915;0.0401709
1180;0.0536723;0.0398305
1190;0.0532213;0.0394958
1200;0.0530556;0.0394444
1210;0.0528926;0.0393939
1220;0.052459;0.0398907
1230;0.0525745;0.0395664
1240;0.0521505;0.0392473
1250;0.0525333;0.0392
1260;0.052381;0.039418
1270;0.0519685;0.0393701
1280;0.0523437;0.0393229
1290;0.0527132;0.0392765
1300;0.0523077;0.0392308
1310;0.0524173;0.0389313
1320;0.0525253;0.0386364
1330;0.0526316;0.0388471
1340;0.0527363;0.0390547
1350;0.0525926;0.0395062
1360;0.0522059;0.0394608
1370;0.0525547;0.0394161
1380;0.0531401;0.0396135
1390;0.0532374;0.0393285
1400;0.0533333;0.0392857
1410;0.0539007;0.0392435
1420;0.0546948;0.0392019
1430;0.0543124;0.0393939
1440;0.0543981;0.0398148
1450;0.0547126;0.0402299
1460;0.0547945;0.040411
1470;0.0544218;0.0403628
1480;0.0540541;0.0403153
1490;0.0536913;0.0407159
1500;0.0542222;0.0408889
1510;0.0538631;0.0406181
1520;0.0537281;0.0403509
1530;0.0535948;0.0400871
1540;0.0536797;0.0404762
1550;0.0533333;0.0406452
1560;0.0532051;0.0405983
1570;0.0539278;0.0403397
1580;0.0537975;0.0402954
1590;0.0536688;0.0402516
1600;0.0533333;0.040625
1610;0.0536232;0.0405797
1620;0.0534979;0.040535
1630;0.0533742;0.0402863
1640;0.053252;0.0404472
1650;0.0531313;0.040404
1660;0.0532129;0.0403614
1670;0.0530938;0.040519
1680;0.0527778;0.0402778
1690;0.0526627;0.0400394
1700;0.052549;0.04
1710;0.0526316;0.0401559
1720;0.0527132;0.0408915
1730;0.0524085;0.0408478
1740;0.0522988;0.0408046
1750;0.0525714;0.0405714
1760;0.0522727;0.0403409
1770;0.0521657;0.040678
1780;0.0518727;0.0404494
1790;0.0515829;0.0407821
1800;0.0514815;0.0409259
1810;0.0517495;0.040884
1820;0.0514652;0.0410256
1830;0.0513661;0.0411658
1840;0.0512681;0.0411232
1850;0.0511712;0.0410811
1860;0.0510753;0.0412186
1870;0.0511586;0.0409982
1880;0.051773;0.0411348
1890;0.0522046;0.0409171
1900;0.0521053;0.0407018
1910;0.052007;0.0406632
1920;0.0520833;0.0407986
1930;0.0518135;0.0409326
1940;0.0515464;0.0410653
1950;0.0512821;0.0413675
1960;0.0510204;0.0413265
1970;0.0510998;0.041286
1980;0.0511785;0.0414141
1990;0.0509213;0.041206
2000;0.0508333;0.0411667
2010;0.0512438;0.0411277
2020;0.0511551;0.0412541
2030;0.0510673;0.0410509
2040;0.0511438;0.0410131
2050;0.0512195;0.0411382
2060;0.0512945;0.0409385
2070;0.0515298;0.0412238
2080;0.051282;0.0410256
2090;0.0510367;0.0409888
2100;0.0515873;0.0411111
2110;0.0519747;0.0410742
2120;0.052044;0.0413522
2130;0.0519562;0.0413146
2140;0.0521807;0.0415888
2150;0.0522481;0.0415504
2160;0.0523148;0.0416667
2170;0.052381;0.0417819
2180;0.0524465;0.0415902
2190;0.0523592;0.0414003
2200;0.0525758;0.0412121
2210;0.0524887;0.0414781
2220;0.0527027;0.0412913
2230;0.0529148;0.0412556
2240;0.0528274;0.0410714
2250;0.053037;0.041037
2260;0.0529499;0.041003
2270;0.0527166;0.0414097
2280;0.0526316;0.0412281
2290;0.052984;0.0414847
2300;0.0530435;0.0414493
2310;0.0528139;0.0412698
2320;0.0527299;0.041523
2330;0.0526466;0.041774
2340;0.0527066;0.0417379
2350;0.0526241;0.0419858
2360;0.0528249;0.0420904
2370;0.0527426;0.0424754
2380;0.0528011;0.0427171
2390;0.0525802;0.0426778
2400;0.0523611;0.0427778
2410;0.0522822;0.0431535
2420;0.0522039;0.0432507
2430;0.051989;0.043347
2440;0.0520492;0.0434426
2450;0.0521088;0.0435374
2460;0.052168;0.0437669
2470;0.0519568;0.0437247
2480;0.0520161;0.0436828
2490;0.0519411;0.0436412
2500;0.0517333;0.0434667
2510;0.05166;0.0434263
2520;0.0518519;0.043254
2530;0.0517787;0.043083
2540;0.0518373;0.0430446
2550;0.0518954;0.0428758
2560;0.0519531;0.0427083
2570;0.0520104;0.0426719
2580;0.0520672;0.0425065
2590;0.0521236;0.042471
2600;0.0520513;0.0426923
2610;0.0518519;0.0429119
2620;0.0517812;0.0430025
2630;0.0519645;0.042839
2640;0.0518939;0.042803
2650;0.0519497;0.0427673
2660;0.052005;0.0428571
2670;0.0519351;0.0428215
2680;0.0521144;0.0430348
2690;0.0520446;0.0432466
2700;0.0519753;0.0433333
2710;0.0521525;0.0432964
2720;0.0523284;0.0431373
2730;0.0521368;0.0433455
2740;0.0520681;0.0434307
2750;0.0518788;0.0435151
2760;0.0518116;0.0434783
2770;0.0517449;0.0434416
2780;0.0516787;0.0436451
2790;0.0516129;0.0434886
2800;0.0514286;0.0435714
2810;0.0516014;0.043535
2820;0.0516548;0.0434988
2830;0.0515901;0.043934
2840;0.0516432;0.0440141
2850;0.0518129;0.0440936
2860;0.0517483;0.044289
2870;0.0515679;0.0441347
2880;0.0517361;0.0443287
2890;0.0515571;0.0441753
2900;0.0514943;0.0442529
2910;0.0515464;0.0442154
2920;0.051484;0.0442922
2930;0.0514221;0.0443686
2940;0.0518141;0.0445578
2950;0.0517514;0.0447458
2960;0.0519144;0.0449324
2970;0.0518519;0.0447811
2980;0.0517897;0.0448546
2990;0.051728;0.0449275
3000;0.0517778;0.0447778
3010;0.0517165;0.044629
3020;0.0515453;0.0445916
3030;0.0514851;0.0446645
3040;0.0513158;0.0450658
3050;0.0512568;0.0452459
3060;0.0513072;0.045098
3070;0.0512486;0.0449511
3080;0.0514069;0.0450216
3090;0.0514563;0.0448759
3100;0.0513978;0.0449462
3110;0.0512326;0.0449089
3120;0.0511752;0.0451923
3130;0.0511182;0.0450479
3140;0.0509554;0.0453291
3150;0.0507937;0.0455026
3160;0.0509494;0.0453587
3170;0.0508938;0.0454259
3180;0.0508386;0.045283
3190;0.0508882;0.0452456
3200;0.0509375;0.0454167
3210;0.0508827;0.0452752
3220;0.0508282;0.0452381
3230;0.0509804;0.0453044
3240;0.050823;0.0454733
3250;0.0509744;0.0455385
3260;0.0509202;0.0456033
3270;0.0509684;0.0454638
3280;0.0510163;0.0453252
3290;0.0512665;0.0452888
3300;0.0513131;0.0451515
3310;0.0513595;0.0452165
3320;0.0513052;0.0451807
3330;0.0512513;0.045045
3340;0.0510978;0.0449102
3350;0.0510448;0.0449751
3360;0.0509921;0.0451389
3370;0.0509397;0.0450049
3380;0.0508876;0.0449704
3390;0.0507375;0.0448378
3400;0.0508824;0.0448039
3410;0.0508309;0.0446725
3420;0.0508772;0.0445419
3430;0.050826;0.0446064
3440;0.0508721;0.0444767
3450;0.0509179;0.0443478
3460;0.0507707;0.0442197
3470;0.0508165;0.0444765
3480;0.0508621;0.0444444
3490;0.0510029;0.0444126
3500;0.0509524;0.0444762
3510;0.0508072;0.0443495
3520;0.0507576;0.0444129
3530;0.0508026;0.0444759
3540;0.0510358;0.0444444
3550;0.050892;0.044507
3560;0.0507491;0.0445693
3570;0.050887;0.0444444
3580;0.0509311;0.0443203
3590;0.0509749;0.0442897
3600;0.0511111;0.0442593
3610;0.0511542;0.044229
3620;0.0511971;0.0441068
3630;0.0511478;0.044169
3640;0.0510989;0.0440476
3650;0.0511416;0.0439269
3660;0.051275;0.043898
3670;0.0512262;0.0438692
3680;0.0511775;0.0438406
3690;0.0512195;0.0439024
3700;0.0513514;0.043964
3710;0.0512129;0.0439353
3720;0.0513441;0.0439068
3730;0.0512958;0.0441466
3740;0.0512478;0.0442068
3750;0.0511111;0.0440889
3760;0.0514184;0.0441489
3770;0.0512821;0.0442087
3780;0.0511464;0.0442681
3790;0.0510994;0.0444151
3800;0.0512281;0.044386
3810;0.0511811;0.0446194
3820;0.0511344;0.0446771
3830;0.0510879;0.0447346
3840;0.0510417;0.0447049
3850;0.0509957;0.0447619
3860;0.0509499;0.0448187
3870;0.0509905;0.0449612
3880;0.0508591;0.0450172
3890;0.0508141;0.0449015
3900;0.0508547;0.0449573
3910;0.0508099;0.045098
3920;0.0509354;0.045068
3930;0.0508058;0.0450382
3940;0.0507614;0.0450085
3950;0.0506329;0.0449789
3960;0.050505;0.0451178
3970;0.0506297;0.0450042
3980;0.05067;0.0450586
3990;0.0507101;0.0450292
4000;0.0506667;0.0450833
4010;0.0505403;0.0452203
4020;0.0504975;0.0451907
4030;0.0503722;0.0453267
4040;0.0505776;0.045297
4050;0.0507819;0.0451852
4060;0.050821;0.0450739
4070;0.05086;0.0451269
4080;0.050817;0.0450163
4090;0.0508557;0.0451508
4100;0.0508943;0.0451219
4110;0.0509327;0.0450122
4120;0.05089;0.0449029
4130;0.0510896;0.0449556
4140;0.0509662;0.0450886
4150;0.051004;0.0451406
4160;0.0511218;0.0450321
4170;0.0513189;0.045004
4180;0.0511962;0.0451356
4190;0.0511535;0.0452665
4200;0.0510317;0.0451587
4210;0.0510689;0.045289
4220;0.0511058;0.0451817
4230;0.0511426;0.0451537
4240;0.0511006;0.0451258
4250;0.0511373;0.0451765
4260;0.0510172;0.0450704
4270;0.0508977;0.045121
4280;0.0509346;0.0452492
4290;0.0510489;0.0451437
4300;0.0509302;0.0451163
4310;0.0510441;0.0450116
4320;0.0510802;0.0449846
4330;0.0510393;0.0449577
4340;0.0510753;0.0448541
4350;0.0510345;0.0448276
4360;0.0509939;0.0448777
4370;0.051106;0.044775
4380;0.0509893;0.0447489
4390;0.0509491;0.0446469
4400;0.0509848;0.0446212
4410;0.0508692;0.0446712
4420;0.0507542;0.044721
4430;0.0506396;0.04462
4440;0.0506757;0.0446697
4450;0.0506367;0.0446442
4460;0.0507474;0.0446936
4470;0.0506339;0.0447427
4480;0.050744;0.0446429
4490;0.050631;0.0446177
4500;0.0505926;0.0447407
4510;0.0505543;0.0447154
4520;0.0505162;0.0448378
4530;0.0504047;0.0447388
4540;0.0502937;0.0448605
4550;0.0503297;0.0451282
4560;0.0503655;0.0450292
4570;0.0503282;0.0450766
4580;0.0503639;0.0452693
4590;0.0503268;0.0453159
4600;0.0505072;0.0452899
4610;0.05047;0.0454085
4620;0.0503608;0.0454545
4630;0.050468;0.0455724
4640;0.050431;0.0454741
4650;0.0505376;0.045448
4660;0.0505007;0.0454936
4670;0.0506781;0.0453961
4680;0.0505698;0.0452991
4690;0.050533;0.0454158
4700;0.0504965;0.0453191
4710;0.0503892;0.0453645
4720;0.0503531;0.045339
4730;0.0503876;0.0453136
4740;0.0504219;0.045429
4750;0.0503158;0.0455439
4760;0.0502101;0.0456583
4770;0.0503145;0.0456324
4780;0.0503487;0.0456764
4790;0.0502436;0.0455811
4800;0.0502083;0.0454861
4810;0.050104;0.0454608
4820;0.0500692;0.0455048
4830;0.0501035;0.0456177
4840;0.0502755;0.0455923
4850;0.0503093;0.0456357
4860;0.0502058;0.0457476
4870;0.0502396;0.0457221
4880;0.0502732;0.045765
4890;0.0502386;0.0458078
4900;0.0502721;0.0459184
4910;0.0503734;0.0460285
4920;0.050271;0.0461382
4930;0.0503043;0.0461122
4940;0.0502024;0.0460864
4950;0.0501684;0.0460606
4960;0.0502688;0.0460349
4970;0.0503018;0.0460765
4980;0.0502008;0.0461178
4990;0.050167;0.0462926
5000;0.0500667;0.0464
5010;0.0499667;0.0463074
5020;0.0500664;0.0463479
5030;0.0500994;0.0463221
5040;0.0500661;0.0464286
5050;0.050033;0.0463366
5060;0.0499341;0.0464427
5070;0.0499671;0.0464826
5080;0.0500656;0.0466535
5090;0.0500327;0.0466929
5100;0.0501307;0.0466667
5110;0.0500978;0.0467058
5120;0.0501302;0.0466146
5130;0.0501624;0.0467186
5140;0.0501297;0.0466926
5150;0.0502265;0.0467314
5160;0.0501292;0.0466408
5170;0.0502257;0.0466796
5180;0.050193;0.0466538
5190;0.0502248;0.0466281
5200;0.0501282;0.0465385
5210;0.050032;0.0465131
5220;0.0500639;0.0466156
5230;0.0499681;0.0466539
5240;0.05;0.0466285
5250;0.0499683;0.0466032
5260;0.0499366;0.0467047
5270;0.0499051;0.0469323
5280;0.0498737;0.0469066
5290;0.0499055;0.0469439
5300;0.0498742;0.0468553
5310;0.0498431;0.0468927
5320;0.049812;0.0469298
5330;0.0497811;0.0469669
5340;0.0497503;0.0468789
5350;0.0496573;0.0467913
5360;0.0496891;0.0467662
5370;0.0496586;0.0468653
5380;0.0496283;0.0469021
5390;0.0495362;0.0470625
5400;0.0496296;0.047037
5410;0.0495379;0.0469501
5420;0.049508;0.046925
5430;0.0494168;0.0470841
5440;0.0495098;0.0471201
5450;0.0496024;0.047156
5460;0.0496948;0.0471306
5470;0.0496039;0.0471664
5480;0.0496959;0.0473236
5490;0.0497268;0.0472981
5500;0.0497576;0.0473333
5510;0.0497278;0.0474894
5520;0.0497585;0.0474638
5530;0.0498493;0.0474985
5540;0.0498195;0.0474729
5550;0.0498498;0.0473874
5560;0.0498801;0.0473022
5570;0.0498504;0.0473968
5580;0.0498208;0.0474313
5590;0.0497317;0.047585
5600;0.0496429;0.047619
5610;0.0498515;0.047653
5620;0.0498221;0.0475682
5630;0.0499112;0.0476613
5640;0.0498818;0.0476359
5650;0.0498525;0.0477286
5660;0.0498822;0.0478799
5670;0.049853;0.047913
5680;0.0499413;0.0478873
5690;0.0499121;0.0478617
5700;0.049883;0.0478363
5710;0.0498541;0.0478109
5720;0.0498252;0.0478438
5730;0.0497382;0.0478185
5740;0.0497677;0.0477933
5750;0.049913;0.0478841
5760;0.0499421;0.0478009
5770;0.0499133;0.0478336
5780;0.049827;0.0477509
5790;0.0497985;0.0477835
5800;0.0497701;0.0478161
5810;0.0497992;0.0479059
